Book Title,Author,Highlight,Location
2666 (Spanish Edition),Roberto Bolaño,baldosas,
2666 (Spanish Edition),Roberto Bolaño,enmohecidas,
2666 (Spanish Edition),Roberto Bolaño,desprendía,
2666 (Spanish Edition),Roberto Bolaño,tufo,
2666 (Spanish Edition),Roberto Bolaño,"y su visión, tan lejana, le anegaba los ojos en lágrimas y le producía una tristeza profunda e insalvable,",
2666 (Spanish Edition),Roberto Bolaño,"También, y no podía evitarlo, y era bueno que no lo evitara,",
2666 (Spanish Edition),Roberto Bolaño,—No hay vuelta atrás.,
2666 (Spanish Edition),Roberto Bolaño,derrotero,
2666 (Spanish Edition),Roberto Bolaño,"vagó sin rumbo, sumido",
2666 (Spanish Edition),Roberto Bolaño,"pajizo,",
2666 (Spanish Edition),Roberto Bolaño,como si no lo hubiera oído.,
2666 (Spanish Edition),Roberto Bolaño,lema,
2666 (Spanish Edition),Roberto Bolaño,índole,
2666 (Spanish Edition),Roberto Bolaño,pedir de boca,
2666 (Spanish Edition),Roberto Bolaño,desdichado,
2666 (Spanish Edition),Roberto Bolaño,"cualquier tontería me enojaba, empecé a beber.",
2666 (Spanish Edition),Roberto Bolaño,alfileretazos,
2666 (Spanish Edition),Roberto Bolaño,si no es una impertinencia preguntárselo?,
2666 (Spanish Edition),Roberto Bolaño,reflotando.,
2666 (Spanish Edition),Roberto Bolaño,"desvanecer,",
2666 (Spanish Edition),Roberto Bolaño,aguijoneó,
2666 (Spanish Edition),Roberto Bolaño,farolas,
2666 (Spanish Edition),Roberto Bolaño,Las sombras que se desplazaban a medida que él se desplazaba.,
2666 (Spanish Edition),Roberto Bolaño,hollín.,
2666 (Spanish Edition),Roberto Bolaño,amalgama,
2666 (Spanish Edition),Roberto Bolaño,"autorretratos,",
2666 (Spanish Edition),Roberto Bolaño,hemorragia,
2666 (Spanish Edition),Roberto Bolaño,sabedora,
2666 (Spanish Edition),Roberto Bolaño,"arropara,",
2666 (Spanish Edition),Roberto Bolaño,"recetados,",
2666 (Spanish Edition),Roberto Bolaño,"jubón,",
2666 (Spanish Edition),Roberto Bolaño,abotonadura,
2666 (Spanish Edition),Roberto Bolaño,ya definitivamente borrados por el tiempo.,
2666 (Spanish Edition),Roberto Bolaño,"sin ideas, sin afirmaciones ni negaciones, sin dudas, sin pretensiones de guía,",
